Year,Participants,Hours
1901,1,
1911,1,
1913,3,
1914,3,
1915,2,
1916,10,
1917,5,
1918,4,
1919,3,
1921,3,
1922,3,
1935,1,
1936,2,
1937,3,
1938,5,23.5
1939,2,9.5
1942,1,6.5
1943,1,7.5
1944,1,8.5
1945,36,
1946,28,
1947,55,74
1948,,
1949,41,103
1950,49,102
1952,73,161.5
1953,,
1954,86,246.5
1955,54,225.5
1956,39,199
1957,63,164
1958,51,172
1959,79,271
1960,54,131
1961,70,210
1962,94,220
1963,105,207
1964,79,198
1965,89,184
1966,65,219
1967,63,188
1968,65,192
1969,74,172
1970,84,227
1971,78,224
1972,69,176
1973,74,230
1974,96,223
1975,97,239
1976,91,263.5
1977,110,450.5
1978,96,224.5
1979,131,316.5
1980,119,261
1981,118,274
1982,124,287
1983,121,309
1984,117,281
1985,107,222
1986,112,255.8
1987,106,242.1
1988,90,233.8
1989,78,182.3
1990,93,156.25
1991,120,218.5
1992,85,191
1993,90,226.5
1994,84,201.75
1995,76,178.25
1996,73,194
1997,100,166.25
1998,121,176.5
1999,130,224
2000,105,191
2001,114,177.75
2002,104,166.75
2003,125,194.25
2004,124,196.25
2005,132,188
2006,127,235.25
2007,146,230.25
2008,130,211.5
2009,105,169
2010,135,214
2011,137,212
2012,145,255.75
2013,143,242
2014,188,258.25
2015,195,270
2016,127,185.75
2017,224,266.5
2018,150,186.5
2019,209,217.25
