common.name,species.name,1913,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1930,1931,1932,1934,1935,1936,1937,1939,1940,1944,1946,1949,1950,1952,1953,1955,1956,1957
Common Redpoll,Acanthis flammea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,26,0,2
redpoll sp.,Acanthis sp.,0,18,1,0,0,0,0,200,0,4,0,0,0,0,0,0,2,0,12,0,6,22,0,0,0,0,0,0,0
Northern Goshawk (American),Accipiter gentilis atricapillus/laingi,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sharp-shinned Hawk,Accipiter striatus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
hawk sp.,Accipitridae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-winged Blackbird,Agelaius phoeniceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0,0,14,1,116,0,0,11,0,12,2,0,7
kingfisher sp.,Alcedinidae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mallard,Anas platyrhynchos,0,0,0,0,0,0,0,0,0,0,0,3,5,0,9,0,1,0,162,127,0,134,0,4,17,205,5,0,1
American Black Duck,Anas rubripes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,8,1,0,0
Gadwall,Anas strepera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Ring-necked Duck,Aythya collaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124,0,0,0,0,0
Greater/Lesser Scaup,Aythya marila/affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Tufted Titmouse,Baeolophus bicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cedar Waxwing,Bombycilla cedrorum,2,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bohemian Waxwing,Bombycilla garrulus,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Horned Owl,Bubo virginianus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Common Goldeneye,Bucephala clangula,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,350,0,0,0,0,0,0
Common/Barrow's Goldeneye,Bucephala clangula/islandica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-tailed Hawk,Buteo jamaicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lapland Longspur,Calcarius lapponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0
Northern Cardinal,Cardinalis cardinalis,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,3,5,8,1,13,6,10,5,9,8,4,2,2
Brown Creeper,Certhia americana,1,1,3,0,2,3,0,3,0,4,1,0,1,1,0,1,6,3,3,6,12,5,3,2,6,6,0,0,2
Northern Harrier,Circus cyaneus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Northern Flicker,Colaptes auratus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Northern Bobwhite,Colinus virginianus,0,0,0,0,0,0,0,0,2,0,22,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
American Crow,Corvus brachyrhynchos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,18,6,11,0,9
crow sp.,Corvus sp. (crow sp.),2,0,0,0,4,2,0,0,0,0,1,0,4,8,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
Blue Jay,Cyanocitta cristata,3,11,6,19,11,21,13,17,8,19,15,5,14,17,15,8,30,4,22,2,19,5,72,8,18,10,9,3,8
Pileated Woodpecker,Dryocopus pileatus,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,2,2,1,0,1,0,0
sparrow sp.,Emberizidae sp. (sparrow sp.),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
Horned Lark,Eremophila alpestris,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
