Year,Participants,Hours
1944,6,
1945,8,10.5
1946,9,7.3
1947,14,
1948,17,14
1949,13,15
1950,8,21
1951,13,30
1952,15,34
1953,18,44
1954,17,42
1955,9,16
1956,8,30
1957,13,33
1958,7,25
1959,7,24
1960,10,20
1961,8,45
1962,10,22
1963,5,13
1965,24,108
1966,21,72
1967,19,59
1968,11,53
1969,20,45
1970,23,88
1971,22,69
1972,27,80
1973,29,91
1974,43,72
1975,21,52.5
1976,31,51
1978,12,40.5
1979,56,139
1980,73,161.3
1981,26,138.1
1982,72,166
1983,76,153
1984,41,100
1985,17,60
1986,37,98.5
1987,47,79
1988,37,69
1989,53,126.3
1990,44,105.5
1991,50,130.5
1992,45,119
1993,37,118.5
1994,47,121
1995,40,120
1996,51,119.75
1997,54,117
1998,50,112
1999,52,117
2000,49,83.5
2001,56,112.25
2002,62,99
2003,60,103.5
2004,67,139
2005,67,115
2006,69,123.75
2007,62,111.5
2008,65,126.75
2009,76,112.75
2010,69,109.25
2011,60,125.68
2012,,105.5
2013,57,108.83
2014,56,112.75
2015,69,105.6
2016,55,106.35
2017,69,112
2018,75,94.75
2019,60,79.75
