common.name,species.name,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Common Redpoll,Acanthis flammea,0,2,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
Cooper's Hawk,Accipiter cooperii,10,8,7,8,14,16,12,14,9,16,18,9,6,11,11,14,18,16,19,19,20,22,20,21,16,15,26,28,17,17,25,19,18,27
Accipiter sp.,Accipiter sp.,3,1,1,1,1,3,4,2,2,3,3,2,4,2,1,2,2,2,2,0,6,4,3,3,1,0,0,0,1,0,0,0,2,2
Sharp-shinned Hawk,Accipiter striatus,4,9,1,6,10,7,4,13,8,12,6,4,11,10,9,11,8,9,21,8,7,12,8,7,6,6,9,10,6,6,12,4,10,8
hawk sp.,Accipitridae sp.,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Northern Saw-whet Owl,Aegolius acadicus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-winged Blackbird,Agelaius phoeniceus,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,7,0,1,1
Wood Duck,Aix sponsa,2,2,2,0,3,2,2,1,1,1,0,2,0,0,0,1,1,0,0,3,1,4,2,0,0,1,0,0,0,0,0,0,1,0
Northern Pintail,Anas acuta,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
American Wigeon,Anas americana,0,0,0,1,0,2,1,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green-winged Teal (American),Anas crecca carolinensis,1,0,0,0,2,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mallard,Anas platyrhynchos,1424,1366,1080,1198,2004,2989,1329,2682,1615,2814,1535,1338,1582,1180,1160,1054,1105,963,1157,1390,1019,917,540,819,1044,523,634,720,560,657,884,655,604,598
American Black Duck,Anas rubripes,30,45,39,59,45,40,28,30,11,64,26,18,17,15,13,5,7,5,10,16,5,9,0,6,0,3,7,4,6,0,12,4,3,0
Gadwall,Anas strepera,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
duck sp.,Anatinae sp.,0,0,0,0,6,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Pipit,Anthus rubescens,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Blue Heron (Blue form),Ardea herodias,10,19,14,2,5,9,8,13,17,12,24,29,22,20,20,17,13,19,18,26,19,7,19,21,15,18,13,32,15,9,21,8,12,16
Short-eared Owl,Asio flammeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lesser Scaup,Aythya affinis,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Redhead,Aythya americana,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Ring-necked Duck,Aythya collaris,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,4,0,0
Greater Scaup,Aythya marila,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Greater/Lesser Scaup,Aythya marila/affinis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Canvasback,Aythya valisineria,1,0,0,2,1,0,0,1,0,0,1,1,0,0,5,0,0,0,4,3,0,0,3,0,0,0,2,0,0,0,1,0,0,0
Tufted Titmouse,Baeolophus bicolor,938,822,861,766,667,789,458,613,469,665,620,605,384,535,512,580,467,398,465,413,577,367,517,572,382,143,465,443,680,474,514,419,292,560
Cedar Waxwing,Bombycilla cedrorum,107,231,82,320,337,412,2,19,165,19,34,23,73,192,113,123,37,6,37,142,77,778,87,48,67,43,32,30,130,0,299,73,576,145
Ruffed Grouse,Bonasa umbellus,5,6,4,4,2,2,2,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Canada Goose,Branta canadensis,508,315,447,471,812,657,468,905,460,729,969,752,858,1118,827,987,985,711,1662,789,1197,1499,1415,963,805,991,1577,1159,915,1262,909,1085,1220,1409
Great Horned Owl,Bubo virginianus,6,2,3,6,9,13,6,15,8,12,6,14,6,17,10,7,8,9,13,9,9,3,8,7,5,4,10,10,11,8,9,13,17,12
Bufflehead,Bucephala albeola,10,9,5,4,0,6,5,4,2,9,7,3,2,9,5,2,3,3,5,6,0,6,0,4,1,5,7,11,3,4,4,3,5,5
Common Goldeneye,Bucephala clangula,30,12,16,12,9,8,5,11,3,13,6,0,2,0,6,2,0,0,0,3,0,1,2,0,0,2,4,0,0,0,0,3,0,0
Red-tailed Hawk,Buteo jamaicensis,37,40,57,24,81,53,50,60,40,65,82,51,67,60,62,79,85,83,95,71,94,89,113,101,60,61,50,99,96,99,120,61,85,98
Rough-legged Hawk,Buteo lagopus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-shouldered Hawk,Buteo lineatus,2,3,2,0,2,1,0,2,0,0,2,1,2,4,4,0,0,1,4,4,4,2,6,3,5,2,6,6,3,4,9,4,7,9
Buteo sp.,Buteo sp.,1,1,2,0,5,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Cardinal,Cardinalis cardinalis,1252,1137,1003,1000,981,999,737,808,865,965,794,803,517,651,709,828,755,700,586,621,556,500,829,589,534,407,653,629,598,477,721,803,434,790
Turkey Vulture,Cathartes aura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22,0,15,9,46,2,4,45,37
Hermit Thrush,Catharus guttatus,12,1,2,2,4,3,1,0,1,0,1,2,0,2,1,1,0,1,2,0,1,2,0,0,1,1,0,0,0,1,1,2,0,3
Brown Creeper,Certhia americana,31,31,5,25,12,10,13,8,9,14,29,11,14,5,9,10,7,8,17,14,12,9,4,5,12,9,3,32,11,10,5,4,15,8
Killdeer,Charadrius vociferus,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
Snow Goose,Chen caerulescens,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ross's Goose,Chen rossii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bonaparte's Gull,Chroicocephalus philadelphia,0,22,0,0,0,0,4,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Northern Harrier,Circus cyaneus,1,0,0,1,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Evening Grosbeak,Coccothraustes vespertinus,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Flicker,Colaptes auratus,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,31,0,27,46,0,54,65,47,43,19,18,23,59,80,39,58,20,61
Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,37,38,58,22,71,52,47,39,30,50,43,0,9,64,27,27,0,25,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1438,1217,1851,1032,1751,1382,1268,1775,1351,1964,1539,2022,2002,1585,1642,1241,1388,1181,1674,2132,1112,1440,829,1158,743,947,546,876,710,839,709,403,940,694
Black Vulture,Coragyps atratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
American Crow,Corvus brachyrhynchos,525,460,660,407,491,898,356,722,493,855,1110,739,563,892,1430,1198,3117,10060,15143,8879,7648,5928,10260,9010,15120,14616,21103,32913,21371,25129,14690,15890,11126,10869
Common Raven,Corvus corax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,3,2,2,2,3,4,7
Fish Crow,Corvus ossifragus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,6,11,3,2,10
Blue Jay,Cyanocitta cristata,404,317,368,470,400,674,299,420,321,633,600,344,188,518,424,464,539,398,417,493,426,289,385,581,408,65,417,302,772,398,601,360,498,870
Tundra Swan,Cygnus columbianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,46,0,0
Mute Swan,Cygnus olor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pileated Woodpecker,Dryocopus pileatus,8,6,6,3,5,12,1,9,11,12,17,18,9,15,12,9,13,16,27,19,16,15,22,19,14,18,19,21,38,34,48,29,34,51
Gray Catbird,Dumetella carolinensis,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sparrow sp.,Emberizidae sp. (sparrow sp.),0,13,3,10,19,53,32,4,15,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewer's Blackbird,Euphagus cyanocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merlin,Falco columbarius,0,0,0,0,0,0,0,0,0,0,0,4,2,5,1,3,2,1,2,1,3,0,1,1,2,0,2,2,3,2,7,2,2,4
Peregrine Falcon,Falco peregrinus,0,0,0,0,0,0,0,0,0,3,1,1,0,2,2,1,1,0,3,3,1,4,4,5,5,3,1,4,2,2,5,1,2,3
falcon sp.,Falco sp.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Kestrel,Falco sparverius,8,5,10,7,17,8,5,7,5,3,5,7,3,5,2,8,3,7,5,6,6,6,6,2,2,2,2,2,1,2,3,1,2,1
American Coot,Fulica americana,0,0,0,0,0,1,0,3,4,7,7,15,11,11,9,1,5,9,2,0,0,0,0,0,1,2,2,0,3,0,2,1,0,0
Wilson's/Common Snipe,Gallinago delicata/gallinago,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Loon,Gavia immer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
loon sp.,Gavia sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
House Finch,Haemorhous mexicanus,2421,1752,2064,1102,1678,1662,1175,1555,1650,1268,1223,924,479,684,664,968,430,436,605,366,345,243,450,143,262,131,267,335,316,347,320,394,415,575
Purple Finch,Haemorhous purpureus,33,2,2,12,12,15,5,0,0,6,2,4,1,1,0,1,1,0,3,0,0,2,1,1,2,1,4,0,0,3,1,5,6,0
Haemorhous sp.,Haemorhous sp.,0,0,0,0,12,14,0,7,58,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bald Eagle,Haliaeetus leucocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,4,4,7,3,4,5,3
blackbird sp.,Icteridae sp.,4,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullock's Oriole,Icterus bullockii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
