"","survey","n.obs","funct.trait","funct.group","city","year","prcnt_park_area","park_EIratio","park_clumpy","effort","Pop.Dens","regional.C"
"29","DC1915",276,"range_class","3large","DC",-1.7065394023868,-1.65138029681094,-1.34195452227863,1.40740075812784,-1.47459252308021,-1.65961480307586,-0.35992200177538
"38","DC1915",381,"range_class","2small","DC",-1.7065394023868,-1.65138029681094,-1.34195452227863,1.40740075812784,-1.47459252308021,-1.65961480307586,-0.35992200177538
"39","DC1915",10271,"range_class","1average","DC",-1.7065394023868,-1.65138029681094,-1.34195452227863,1.40740075812784,-1.47459252308021,-1.65961480307586,-0.35992200177538
"52","DC1920",242,"range_class","3large","DC",-1.54446582785845,-1.43843406187613,-0.300231915109476,1.17577556949928,-1.54697386925642,-1.26964394485104,0.0573348817520676
"54","DC1920",6116,"range_class","1average","DC",-1.54446582785845,-1.43843406187613,-0.300231915109476,1.17577556949928,-1.54697386925642,-1.26964394485104,0.0573348817520676
"56","DC1920",107,"range_class","2small","DC",-1.54446582785845,-1.43843406187613,-0.300231915109476,1.17577556949928,-1.54697386925642,-1.26964394485104,0.0573348817520676
"57","DC1935",725,"range_class","2small","DC",-1.05824510427338,-0.475058198339616,0.748626105241461,-0.0805739105549713,-1.51882556796567,-0.263362266425943,-0.0662724128345637
"58","DC1935",2251,"range_class","1average","DC",-1.05824510427338,-0.475058198339616,0.748626105241461,-0.0805739105549713,-1.51882556796567,-0.263362266425943,-0.0662724128345637
"63","DC1935",9893,"range_class","3large","DC",-1.05824510427338,-0.475058198339616,0.748626105241461,-0.0805739105549713,-1.51882556796567,-0.263362266425943,-0.0662724128345637
"89","DC1945",4474,"range_class","2small","DC",-0.734097955216671,0.436502719332607,1.80597262486107,-0.535415758365629,-0.734694317723311,0.891182449504372,0.321605461926097
"93","DC1945",25658,"range_class","1average","DC",-0.734097955216671,0.436502719332607,1.80597262486107,-0.535415758365629,-0.734694317723311,0.891182449504372,0.321605461926097
"94","DC1945",58696,"range_class","3large","DC",-0.734097955216671,0.436502719332607,1.80597262486107,-0.535415758365629,-0.734694317723311,0.891182449504372,0.321605461926097
"116","DC1955",83511,"range_class","1average","DC",-0.409950806159961,0.196579958587857,-0.191340333128087,0.368556564912978,-0.421041817626366,1.26051270259677,-0.0204820094721255
"117","DC1955",137183,"range_class","3large","DC",-0.409950806159961,0.196579958587857,-0.191340333128087,0.368556564912978,-0.421041817626366,1.26051270259677,-0.0204820094721255
"121","DC1955",11594,"range_class","2small","DC",-0.409950806159961,0.196579958587857,-0.191340333128087,0.368556564912978,-0.421041817626366,1.26051270259677,-0.0204820094721255
"141","DC1965",8476,"range_class","2small","DC",-0.08580365710325,0.860621016341198,0.631627230041294,-0.8237636485047,-0.139558804718852,1.09387194695076,-0.219222414436561
"145","DC1965",74718,"range_class","1average","DC",-0.08580365710325,0.860621016341198,0.631627230041294,-0.8237636485047,-0.139558804718852,1.09387194695076,-0.219222414436561
"150","DC1965",136991,"range_class","3large","DC",-0.08580365710325,0.860621016341198,0.631627230041294,-0.8237636485047,-0.139558804718852,1.09387194695076,-0.219222414436561
"169","DC1975",8693,"range_class","2small","DC",0.238343491953461,0.745663713269149,-1.29996356343292,0.325638864573648,0.540021612157862,0.633887072274443,-0.373254894945613
"170","DC1975",93699,"range_class","1average","DC",0.238343491953461,0.745663713269149,-1.29996356343292,0.325638864573648,0.540021612157862,0.633887072274443,-0.373254894945613
"177","DC1975",99259,"range_class","3large","DC",0.238343491953461,0.745663713269149,-1.29996356343292,0.325638864573648,0.540021612157862,0.633887072274443,-0.373254894945613
"197","DC1985",12981,"range_class","2small","DC",0.562490641010171,0.122337648095739,0.780666550733193,0.147980713789384,0.411343663400141,0.0854921548586655,-0.0688284069093135
"198","DC1985",112158,"range_class","1average","DC",0.562490641010171,0.122337648095739,0.780666550733193,0.147980713789384,0.411343663400141,0.0854921548586655,-0.0688284069093135
"205","DC1985",54531,"range_class","3large","DC",0.562490641010171,0.122337648095739,0.780666550733193,0.147980713789384,0.411343663400141,0.0854921548586655,-0.0688284069093135
"225","DC1995",24099,"range_class","2small","DC",0.886637790066882,0.219052814827505,0.0151258264290113,0.0264627295027303,0.439491964690893,-0.15717867440268,0.221167252258021
"228","DC1995",122640,"range_class","1average","DC",0.886637790066882,0.219052814827505,0.0151258264290113,0.0264627295027303,0.439491964690893,-0.15717867440268,0.221167252258021
"229","DC1995",40728,"range_class","3large","DC",0.886637790066882,0.219052814827505,0.0151258264290113,0.0264627295027303,0.439491964690893,-0.15717867440268,0.221167252258021
"241","DC2000",127387,"range_class","1average","DC",1.04871136459524,0.0798484826547839,1.1518775320516,-2.2531978519062,0.729017349395765,-0.284753505592808,-0.109911730652697
"242","DC2000",13691,"range_class","2small","DC",1.04871136459524,0.0798484826547839,1.1518775320516,-2.2531978519062,0.729017349395765,-0.284753505592808,-0.109911730652697
"244","DC2000",43679,"range_class","3large","DC",1.04871136459524,0.0798484826547839,1.1518775320516,-2.2531978519062,0.729017349395765,-0.284753505592808,-0.109911730652697
"253","DC2005",149006,"range_class","1average","DC",1.21078493912359,0.394559453233506,0.958777732624538,-0.32314689182663,1.00245799050592,-0.163103190830613,0.0570091392438596
"254","DC2005",50989,"range_class","3large","DC",1.21078493912359,0.394559453233506,0.958777732624538,-0.32314689182663,1.00245799050592,-0.163103190830613,0.0570091392438596
"257","DC2005",10492,"range_class","2small","DC",1.21078493912359,0.394559453233506,0.958777732624538,-0.32314689182663,1.00245799050592,-0.163103190830613,0.0570091392438596
"269","DC2010",8030,"range_class","2small","DC",1.37285851365195,0.0696128699950246,0.0902252188693883,-0.479410049794725,1.43674606756323,-0.0414528760684187,-0.00721003848356215
"272","DC2010",124189,"range_class","1average","DC",1.37285851365195,0.0696128699950246,0.0902252188693883,-0.479410049794725,1.43674606756323,-0.0414528760684187,-0.00721003848356215
"276","DC2010",34244,"range_class","3large","DC",1.37285851365195,0.0696128699950246,0.0902252188693883,-0.479410049794725,1.43674606756323,-0.0414528760684187,-0.00721003848356215
