common.name,species.name,1901,1911,1913,1914,1915,1916,1917,1918,1919,1921,1922,1935,1936,1937,1938,1939,1942,1943,1944,1945,1946,1947,1948,1949,1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Common Redpoll,Acanthis flammea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper's Hawk,Accipiter cooperii,0,0,2,1,0,3,1,1,0,0,0,0,0,0,0,1,1,0,1,7,4,4,7,6,5,4,2,4,5,1,6,1,0,2,2,3,1,1,5,0,0,2,0,2,2,0,2,3,1,2,1,4,1,5,4,5,1,2,6,1,6,0,3,3,2,5,2,7,6,8,6,9,20,6,10,13,11,14,25,24,34,23,10,26,19,25,13,16,19,19,26,11,24
Northern Goshawk,Accipiter gentilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accipiter sp.,Accipiter sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,2,1,0,0,0,1,0,0,0,0
Sharp-shinned Hawk,Accipiter striatus,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8,0,1,3,10,7,5,0,6,1,3,2,2,0,2,0,0,1,0,0,1,1,0,2,2,9,4,5,5,5,5,7,13,10,11,7,26,24,14,11,17,9,19,19,18,23,17,12,14,28,32,14,23,19,23,21,23,28,23,16,8,14,18,17,9,12,11,8,10,5,5
hawk sp.,Accipitridae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,1
Northern Saw-whet Owl,Aegolius acadicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-winged Blackbird,Agelaius phoeniceus,0,0,0,0,0,7,2,12,0,0,0,6,0,0,18,67,0,0,0,188,186,40,631,299,272,581,921,738,1478,587,2325,1533,3216,1989,877,420,540,980,530,380,650,130,100,400,340,422,9103,836,827,310,1373,3719,945,209,1084,634,159,509,154,236,415,552,105,183,720,357,350,262,352,260,688,1774,306,711,137,211,408,265,672,856,374,434,73,363,576,379,609,353,353,137,453,278,381
Wood Duck,Aix sponsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,4,0,0,0,0,0,0,0,0,1,0,3,1,5,4,5,49,1,7,40,28,8,25,26,17,12,6,24,9,114,6,18,13,52,50,69,104,67,90,84,103,6,101,85,104,58,72,134,41,61,69,33,44,67,37,3,23,29,10,10,11,27,8,17,6,6
kingfisher sp.,Alcedinidae sp.,0,0,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grasshopper Sparrow,Ammodramus savannarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Pintail,Anas acuta,0,0,0,0,0,0,0,0,0,0,0,4,0,175,640,331,0,0,0,220,484,205,371,600,272,476,2511,807,281,681,1171,803,1901,375,516,360,250,350,160,110,72,76,64,52,69,30,99,103,110,58,173,58,15,53,55,37,76,20,102,180,603,606,58,9,71,3,33,31,31,14,12,18,41,16,6,31,6,9,5,2,2,2,1,1,0,0,2,0,1,1,1,0,0
American Wigeon,Anas americana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,65,150,233,215,128,182,143,110,127,52,60,53,58,37,44,36,22,16,49,13,10,20,5,4,56,35,50,4,17,40,31,16,5,35,5,21,26,8,15,23,32,15,20,9,13,13,10,9,1,6,0,4,1,1,3,0,0,19,3,2,0,0,3,2,6,19,3
Northern Shoveler,Anas clypeata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,20,13,7,16,4,7,2,0,1,6,2,6,6,0,1,7,0,0,0,0,0,0,1,2,0,1,0,6,0,0,6,46,23,103,29,3,2,4,0,0,0,2,7,1,0,8,4,26,1,0,0,11,2,0,0,0,4,8,2,7,0,30,101,98,118,41
Green-winged Teal,Anas crecca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,2,0,18,67,160,74,603,513,104,38,150,97,310,463,78,68,0,0,0,0,0,0,0,0,0,0,48,40,95,42,51,19,68,52,35,0,0,55,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Green-winged Teal (American),Anas crecca carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,25,190,210,24,190,28,67,49,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,73,319,394,16,65,13,8,6,4,4,13,8,12,24,3,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,2,26,0,0
