common.name,species.name,1908,1941,1943,1947,1948,1953,1954,1955,1956,1957,1958,1959,1960,1961,1963
Common Redpoll,Acanthis flammea,0,0,0,3,0,22,14,37,0,195,0,61,0,46,6
redpoll sp.,Acanthis sp.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper's Hawk,Accipiter cooperii,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Northern Goshawk (American),Accipiter gentilis atricapillus/laingi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sharp-shinned Hawk,Accipiter striatus,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Red-winged Blackbird,Agelaius phoeniceus,0,0,1,0,15,1,2,2,0,0,0,2,0,0,0
Wood Duck,Aix sponsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Northern Pintail,Anas acuta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Northern Shoveler,Anas clypeata,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Mallard,Anas platyrhynchos,0,33,0,6,13,17,336,74,462,950,397,542,0,36,52
American Black Duck,Anas rubripes,0,0,0,3,2,0,3,0,4,16,13,6,0,0,1
Long-eared Owl,Asio otus,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
Lesser Scaup,Aythya affinis,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
Canvasback,Aythya valisineria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tufted Titmouse,Baeolophus bicolor,0,0,0,1,0,2,1,1,0,0,2,2,0,1,0
Cedar Waxwing,Bombycilla cedrorum,0,0,0,100,0,18,0,94,2,0,0,0,22,5,0
Bohemian Waxwing,Bombycilla garrulus,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Snowy Owl,Bubo scandiacus,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Great Horned Owl,Bubo virginianus,0,0,0,0,0,3,0,2,2,1,3,1,1,1,0
Bufflehead,Bucephala albeola,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Common Goldeneye,Bucephala clangula,0,0,0,0,0,0,6,72,2,23,17,9,0,0,0
Red-tailed Hawk,Buteo jamaicensis,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0
Rough-legged Hawk,Buteo lagopus,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
Northern Cardinal,Cardinalis cardinalis,0,13,10,23,35,15,18,21,18,18,9,25,15,10,16
Brown Creeper,Certhia americana,1,11,21,3,4,3,2,3,3,11,9,2,0,1,1
Northern Harrier,Circus cyaneus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Northern Bobwhite,Colinus virginianus,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Crow,Corvus brachyrhynchos,0,0,0,2,3,15,32,39,19,30,46,42,29,19,6
Blue Jay,Cyanocitta cristata,14,85,80,62,51,51,143,295,26,194,17,170,116,35,26
Tundra Swan (Whistling),Cygnus columbianus columbianus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pileated Woodpecker,Dryocopus pileatus,0,1,0,0,1,1,2,1,1,1,4,0,0,0,0
Gray Catbird,Dumetella carolinensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
American Kestrel,Falco sparverius,0,0,1,0,1,0,0,1,4,1,4,3,7,3,0
American Coot,Fulica americana,0,1,0,0,0,0,8,0,3,0,0,0,0,0,0
Wilson's/Common Snipe,Gallinago delicata/gallinago,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Common Loon,Gavia immer,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Purple Finch,Haemorhous purpureus,0,2,12,0,31,19,90,47,32,80,22,47,0,8,11
Dark-eyed Junco (Oregon),Junco hyemalis,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1
Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,0,27,43,52,194,238,142,115,59,157,95,235,254,36,180
Northern Shrike,Lanius excubitor,0,0,0,0,0,0,2,1,2,0,2,0,0,0,0
Ring-billed Gull,Larus delawarensis,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
Red Crossbill,Loxia curvirostra,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
White-winged Crossbill,Loxia leucoptera,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
Belted Kingfisher,Megaceryle alcyon,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0
Red-bellied Woodpecker,Melanerpes carolinus,0,0,2,4,1,0,0,0,0,0,1,2,0,1,0
Red-headed Woodpecker,Melanerpes erythrocephalus,0,1,0,0,0,0,0,1,0,5,0,1,0,0,0
Song Sparrow,Melospiza melodia,0,0,0,0,0,0,1,0,3,1,0,1,1,0,0
Common Merganser,Mergus merganser,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0
House Sparrow,Passer domesticus,0,1200,177,1138,924,1707,1082,4591,1803,1879,1057,2183,1249,716,940
Ring-necked Pheasant,Phasianus colchicus,0,81,14,67,66,91,164,481,110,135,102,182,58,182,29
Downy Woodpecker,Picoides pubescens,3,29,35,19,22,53,26,31,10,23,14,23,20,12,6
Hairy Woodpecker,Picoides villosus,0,18,10,10,10,8,7,17,10,7,9,13,6,4,3
Pine Grosbeak,Pinicola enucleator,0,0,0,0,0,0,1,0,0,8,0,0,0,14,0
Spotted Towhee,Pipilo maculatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Snow Bunting,Plectrophenax nivalis,5,0,0,0,0,0,0,253,0,0,0,0,0,1,0
Pied-billed Grebe,Podilymbus podiceps,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black-capped Chickadee,Poecile atricapillus,0,75,120,59,83,99,157,180,64,235,144,200,69,53,50
Boreal Chickadee,Poecile hudsonicus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chickadee sp.,Poecile sp.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden-crowned Kinglet,Regulus satrapa,0,4,8,2,0,0,9,0,0,0,34,0,0,0,3
Eastern Bluebird,Sialia sialis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Red-breasted Nuthatch,Sitta canadensis,0,0,1,0,0,0,5,0,2,17,3,0,0,1,1
White-breasted Nuthatch,Sitta carolinensis,4,28,42,27,36,60,47,82,28,74,56,51,25,14,16
Pine Siskin,Spinus pinus,0,0,0,5,0,0,0,0,0,2,25,0,0,0,0
Spinus sp. (goldfinch sp.),Spinus sp. (goldfinch sp.),0,15,12,0,0,0,0,0,0,0,0,0,0,0,0
American Goldfinch,Spinus tristis,0,0,0,6,1,68,158,90,62,62,48,44,36,11,25
American Tree Sparrow,Spizelloides arborea,0,36,30,8,174,428,547,62,71,50,121,201,63,3,99
Barred Owl,Strix varia,0,2,1,0,0,2,2,0,1,2,0,3,1,0,1
Western Meadowlark,Sturnella neglecta,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Western/Eastern Meadowlark,Sturnella neglecta/magna,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
European Starling,Sturnus vulgaris,0,265,10,6,37,424,59,250,228,205,159,325,266,134,20
American Robin,Turdus migratorius,1,0,0,5,1,1,0,2,2,2,0,0,0,0,0
Mourning Dove,Zenaida macroura,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0
White-throated Sparrow,Zonotrichia albicollis,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
