Year,Participants,Hours
1905,1,
1906,3,
1907,1,
1910,1,
1911,2,
1929,5,
1930,1,
1932,2,
1944,11,13
1946,9,
1948,22,
1949,8,
1951,26,51
1952,24,60
1953,23,47.5
1954,18,30.5
1955,8,20
1956,15,31
1957,12,25
1958,15,29
1959,14,22
1960,19,29
1961,9,23
1962,16,21
1963,11,23
1964,10,23
1965,20,20
1966,23,30
1967,17,49
1968,10,33
1969,24,40
1970,15,36
1971,25,51
1972,13,35
1973,35,59
1974,38,71
1975,48,106.5
1976,35,84
1977,25,62
1978,40,90
1979,37,78.5
1980,29,66.5
1981,31,68
1982,22,53
1983,26,61
1984,28,60
1985,18,41.1
1986,19,64
1987,21,66
1988,14,49
1989,19,70
1990,17,62
1991,24,74
1992,13,46
1993,26,66.25
1994,34,72
1995,30,64
1996,32,60
1997,43,88.5
1998,23,94.95
1999,28,80
2000,34,73.5
2001,28,65.35
2002,26,61.05
2003,40,56.25
2004,35,76
2005,24,74.5
2006,23,58
2007,33,59.5
2008,31,58.75
2009,27,52.25
2010,27,69.5
2011,30,59.75
2012,36,63.75
2013,37,57.28
2014,34,58
2015,41,73.75
2016,29,61.5
2017,39,77
2018,38,73.5
2019,46,71.5
