Year,Participants,Hours
1910,2,
1912,1,
1913,3,
1914,1,
1915,2,
1916,2,
1920,4,
1922,3,
1923,4,
1924,2,
1925,4,
1928,2,
1930,4,
1931,1,
1937,12,
1938,14,
1939,15,46.5
1940,9,21
1942,17,32
1943,11,20
1944,12,21
1945,12,29
1946,15,24
1947,84,31
1948,32,38
1949,16,20
1953,30,38
1954,16,44
1955,19,36
1956,12,37
1957,26,65
1958,21,58
1959,25,59
1960,28,80
1961,37,127
1962,37,85
1963,41,140
1964,,
1965,37,129
1966,40,143
1967,54,207
1968,43,142
1969,58,184
1970,72,335
1971,81,252
1972,85,343
1973,83,425
1974,100,388
1975,121,373
1976,136,274
1977,144,315
1978,160,330
1979,176,331.3
1980,154,303.8
1981,151,328.8
1982,158,286
1983,146,265
1984,109,232.5
1985,144,257
